target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
 -12.53,   0.32,  -0.40, time =   20.40
 -12.53,   0.35,  -0.36, time =   20.50
 -12.52,   0.39,  -0.30, time =   20.60
 -12.51,   0.42,  -0.24, time =   20.70
 -12.49,   0.45,  -0.16, time =   20.80
 -12.46,   0.48,  -0.09, time =   20.90
 -12.43,   0.49,  -0.06, time =   21.00
 -12.39,   0.49,  -0.06, time =   21.10
 -12.36,   0.48,  -0.01, time =   21.20
 -12.33,   0.45,  -0.06, time =   21.30
 -12.30,   0.40,  -0.03, time =   21.40
 -12.28,   0.35,   0.04, time =   21.50
 -12.27,   0.29,   0.10, time =   21.60
 -12.26,   0.24,   0.14, time =   21.70
 -12.25,   0.18,   0.16, time =   21.80
 -12.25,   0.12,   0.17, time =   21.90
 -12.25,   0.06,   0.17, time =   22.00
 -12.25,  -0.00,   0.16, time =   22.10
 -12.25,  -0.06,   0.15, time =   22.20
 -12.25,  -0.12,   0.15, time =   22.30
 -12.25,  -0.18,   0.16, time =   22.40
 -12.24,  -0.23,   0.18, time =   22.50
 -12.23,  -0.28,   0.21, time =   22.60
 -12.21,  -0.32,   0.26, time =   22.70
 -12.19,  -0.34,   0.27, time =   22.80
 -12.16,  -0.36,   0.18, time =   22.90
 -12.12,  -0.36,   0.02, time =   23.00
 -12.09,  -0.35,  -0.01, time =   23.10
 -12.06,  -0.33,  -0.03, time =   23.20
 -12.03,  -0.29,  -0.03, time =   23.30
 -12.01,  -0.23,  -0.05, time =   23.40
 -11.99,  -0.17,  -0.06, time =   23.50
 -11.98,  -0.11,  -0.08, time =   23.60
 -11.98,  -0.04,  -0.13, time =   23.70
 -11.98,   0.02,  -0.19, time =   23.80
 -11.98,   0.07,  -0.26, time =   23.90
 -11.99,   0.13,  -0.31, time =   24.00
 -11.99,   0.17,  -0.34, time =   24.10
 -12.00,   0.21,  -0.35, time =   24.20
 -12.00,   0.26,  -0.34, time =   24.30
 -12.00,   0.30,  -0.31, time =   24.40
 -11.99,   0.34,  -0.26, time =   24.50
 -11.97,   0.38,  -0.20, time =   24.60
 -11.95,   0.41,  -0.14, time =   24.70
 -11.92,   0.44,  -0.09, time =   24.80
 -11.89,   0.46,  -0.07, time =   24.90
 -11.86,   0.46,  -0.06, time =   25.00
 -11.82,   0.45,   0.02, time =   25.10
 -11.79,   0.42,  -0.01, time =   25.20
 -11.76,   0.38,   0.04, time =   25.30
 -11.74,   0.33,   0.12, time =   25.40
 -11.73,   0.28,   0.18, time =   25.50
 -11.72,   0.23,   0.22, time =   25.60
 -11.72,   0.17,   0.23, time =   25.70
 -11.72,   0.12,   0.22, time =   25.80
 -11.72,   0.06,   0.19, time =   25.90
 -11.72,   0.00,   0.17, time =   26.00
 -11.72,  -0.06,   0.15, time =   26.10
 -11.72,  -0.12,   0.14, time =   26.20
 -11.72,  -0.18,   0.14, time =   26.30
 -11.71,  -0.23,   0.16, time =   26.40
 -11.70,  -0.28,   0.19, time =   26.50
 -11.68,  -0.33,   0.23, time =   26.60
 -11.66,  -0.35,   0.26, time =   26.70
 -11.63,  -0.37,   0.21, time =   26.80
 -11.60,  -0.37,   0.07, time =   26.90
 -11.56,  -0.37,   0.01, time =   27.00
 -11.52,  -0.34,  -0.03, time =   27.10
