target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
  -8.33,  -0.46,   0.34, time =   40.94
  -8.31,  -0.48,   0.40, time =   41.04
  -8.28,  -0.48,   0.50, time =   41.14
  -8.26,  -0.46,   0.59, time =   41.24
  -8.23,  -0.41,   0.65, time =   41.34
  -8.21,  -0.34,   0.66, time =   41.44
  -8.19,  -0.25,   0.64, time =   41.54
  -8.18,  -0.15,   0.55, time =   41.64
  -8.18,  -0.03,   0.48, time =   41.74
  -8.19,   0.09,   0.50, time =   41.84
  -8.21,   0.21,   0.54, time =   41.94
  -8.24,   0.34,   0.58, time =   42.04
  -8.28,   0.46,   0.64, time =   42.14
  -8.32,   0.58,   0.73, time =   42.24
  -8.36,   0.70,   0.80, time =   42.34
  -8.41,   0.81,   0.84, time =   42.44
  -8.45,   0.92,   0.86, time =   42.54
  -8.50,   1.02,   0.87, time =   42.64
  -8.54,   1.12,   0.87, time =   42.74
  -8.59,   1.21,   0.88, time =   42.84
  -8.63,   1.30,   0.88, time =   42.94
  -8.67,   1.39,   0.89, time =   43.04
  -8.71,   1.48,   0.90, time =   43.14
  -8.75,   1.56,   0.90, time =   43.24
  -8.80,   1.64,   0.91, time =   43.34
  -8.84,   1.71,   0.91, time =   43.44
  -8.88,   1.79,   0.91, time =   43.54
  -8.92,   1.86,   0.91, time =   43.64
  -8.97,   1.94,   0.91, time =   43.74
  -9.01,   2.01,   0.90, time =   43.84
  -9.05,   2.08,   0.90, time =   43.94
  -9.10,   2.14,   0.89, time =   44.04
reward:  200.04
